fetched_at,phrase,region_name,region_id,region_type,device,kind,rank,nested_phrase,count,total_count
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,1,евгеника,486,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,2,пюник,84,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,3,irynakournikova,9,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,4,sh0tnik,11,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,5,щаница,1,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,6,юмнико,5,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,7,анастасян,260,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,8,жконика,1,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,9,пшенников,14,3
2026-09-15,ovsyannikov,Тюменская область,11176,campaign,DEVICE_ALL,association,10,яишницу,17,3
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,1,евгеника,827,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,2,пюник,109,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,3,irynakournikova,8,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,4,sh0tnik,13,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,5,aynikorgg,4,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,6,щаница,12,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,7,факеравтогрупп,1,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,8,анастасян,602,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,9,жконика,3,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,10,пшенников,41,1
2026-09-15,ovsyannikov,Воронежская область,10672,campaign,DEVICE_ALL,association,11,яишницу,34,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,1,евгеника,357,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,2,пюник,41,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,3,irynakournikova,8,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,4,sh0tnik,2,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,5,щаница,2,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,6,юмнико,2,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,7,анастасян,348,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,8,korobeynikov,3,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,9,жконика,3,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,10,пшенников,22,1
2026-09-15,ovsyannikov,Липецкая область,10712,campaign,DEVICE_ALL,association,11,яишницу,13,1
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,1,евгеника,657,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,2,пюник,102,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,3,irynakournikova,18,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,4,sh0tnik,9,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,5,aynikorgg,1,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,6,щаница,1,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,7,факеравтогрупп,1,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,8,юмнико,5,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,9,анастасян,941,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,10,korobeynikov,3,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,11,жконика,2,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,12,пшенников,27,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,13,яишницу,29,4
2026-09-15,ovsyannikov,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,14,эуоника,2,4
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,1,евгеника,1094,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,2,пюник,122,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,3,irynakournikova,39,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,4,sh0tnik,4,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,5,щаница,13,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,6,юмнико,4,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,7,анастасян,594,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,8,korobeynikov,13,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,9,жконика,4,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,10,пшенников,70,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,11,яишницу,32,1
2026-09-15,ovsyannikov,Новосибирская область,11316,campaign,DEVICE_ALL,association,12,эуоника,6,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,1,евгеника,1011,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,2,пюник,46,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,3,sh0tnik,3,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,4,щаница,3,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,5,факеравтогрупп,1,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,6,юмнико,4,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,7,анастасян,552,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,8,пшенников,9,1
2026-09-15,ovsyannikov,Кемеровская область,11282,control,DEVICE_ALL,association,9,яишницу,21,1
2026-09-15,ovsyannikov,Кировская область,11070,control,DEVICE_ALL,association,1,евгеника,431,2
2026-09-15,ovsyannikov,Кировская область,11070,control,DEVICE_ALL,association,2,пюник,58,2
2026-09-15,ovsyannikov,Кировская область,11070,control,DEVICE_ALL,association,3,irynakournikova,3,2
2026-09-15,ovsyannikov,Кировская область,11070,control,DEVICE_ALL,association,4,sh0tnik,1,2
