fetched_at,phrase,region_name,region_id,region_type,device,kind,rank,nested_phrase,count,total_count
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,1,kosmetista,2,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,2,эксфолиант что это,5,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,3,эксфолиант это,7,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,5,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,5,косметическое масло,298,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,42,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,1,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,8,средства для ухода за лицом bioderma,1,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,9,эксфолиант что это такое,3,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,10,средства для ухода за лицом,89,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,11,косметические средства,207,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,12,тональное средство,146,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,13,что такое экзосомы в косметологии для лица,3,17
2026-09-15,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,14,косметическая основа,11,17
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,1,kosmetista,19,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,2,эксфолиант что это,36,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,3,эксфолиант это,47,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,10,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,5,косметическое масло,431,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,55,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,4,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,8,машнит косметикс,2,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,9,средства для ухода за лицом,172,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,10,косметические средства,346,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,11,aya cosmetics,9,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,12,тональное средство,155,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,13,что такое лосьон для лица,1,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,14,что такое экзосомы в косметологии для лица,1,54
2026-09-15,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,15,косметическая основа,12,54
