fetched_at,phrase,region_name,region_id,region_type,device,kind,rank,nested_phrase,count,total_count
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,1,kosmetista,2,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,2,эксфолиант что это,6,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,3,эксфолиант это,10,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,9,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,5,косметическое масло,272,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,44,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,1,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,8,средства для ухода за лицом bioderma,1,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,9,эксфолиант что это такое,1,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,10,средства для ухода за лицом,93,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,11,косметические средства,220,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,12,aya cosmetics,8,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,13,тональное средство,120,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,14,что такое экзосомы в косметологии для лица,3,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,15,косметическая основа,11,11
2026-09-09,овсянников косметика,Тюменская область,11176,campaign,DEVICE_ALL,association,16,профкосметика для волос,5,11
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,1,kosmetista,15,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,2,эксфолиант что это,31,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,3,эксфолиант это,42,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,11,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,5,косметическое масло,426,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,47,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,1,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,8,эксфолиант что это такое,1,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,9,машнит косметикс,2,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,10,средства для ухода за лицом,193,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,11,косметические средства,337,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,12,aya cosmetics,7,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,13,тональное средство,155,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,14,что такое лосьон для лица,1,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,15,косметическая основа,12,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,16,podonail cosmetics,2,58
2026-09-09,овсянников косметика,Волгоградская область,10950,campaign,DEVICE_ALL,association,17,профкосметика для волос,6,58
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,1,kosmetista,10,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,2,эксфолиант что это,25,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,3,эксфолиант это,35,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,10,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,5,косметическое масло,449,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,38,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,4,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,8,средства для ухода за лицом bioderma,2,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,9,kisy cosmetics,10,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,10,эксфолиант что это такое,8,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,11,машнит косметикс,2,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,12,средства для ухода за лицом,202,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,13,косметические средства,367,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,14,aya cosmetics,2,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,15,тональное средство,202,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,16,что такое лосьон для лица,2,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,17,косметическая основа,6,73
2026-09-09,овсянников косметика,Воронежская область,10672,campaign,DEVICE_ALL,association,18,профкосметика для волос,2,73
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,1,эксфолиант это,2,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,2,косметическое масло,100,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,3,что нужно для макияжа лица,25,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,4,kisy cosmetics,2,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,5,средства для ухода за лицом,56,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,6,косметические средства,74,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,7,тональное средство,54,7
2026-09-09,овсянников косметика,Республика Мордовия,11117,campaign,DEVICE_ALL,association,8,косметическая основа,5,7
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,1,эксфолиант что это,2,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,2,эксфолиант это,8,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,3,косметическое масло,57,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,4,что нужно для макияжа лица,15,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,5,чем отмыть тональный крем с одежды,1,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,6,средства для ухода за лицом bioderma,1,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,7,машнит косметикс,1,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,8,средства для ухода за лицом,59,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,9,косметические средства,102,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,10,тональное средство,65,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,11,что такое экзосомы в косметологии для лица,2,1
2026-09-09,овсянников косметика,Орловская область,10772,campaign,DEVICE_ALL,association,12,профкосметика для волос,2,1
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,1,kosmetista,6,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,2,эксфолиант что это,12,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,3,эксфолиант это,13,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,4,косметическое масло,220,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,5,что нужно для макияжа лица,24,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,6,чем отмыть тональный крем с одежды,1,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,7,эксфолиант что это такое,2,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,8,средства для ухода за лицом,94,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,9,косметические средства,152,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,10,aya cosmetics,2,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,11,тональное средство,58,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,12,что такое лосьон для лица,3,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,13,косметическая основа,19,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,14,podonail cosmetics,2,16
2026-09-09,овсянников косметика,Рязанская область,10776,campaign,DEVICE_ALL,association,15,профкосметика для волос,2,16
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,1,kosmetista,8,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,2,эксфолиант что это,9,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,3,эксфолиант это,15,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,6,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,5,косметическое масло,162,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,38,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,1,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,8,средства для ухода за лицом bioderma,1,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,9,эксфолиант что это такое,2,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,10,средства для ухода за лицом,104,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,11,косметические средства,189,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,12,aya cosmetics,11,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,13,тональное средство,110,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,14,косметическая основа,18,63
2026-09-09,овсянников косметика,Ярославская область,10841,campaign,DEVICE_ALL,association,15,профкосметика для волос,1,63
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,1,эксфолиант это,1,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,2,косметическое масло,76,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,3,что нужно для макияжа лица,39,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,4,средства для ухода за лицом,34,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,5,косметические средства,101,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,6,aya cosmetics,1,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,7,тональное средство,35,17
2026-09-09,овсянников косметика,Костромская область,10699,campaign,DEVICE_ALL,association,8,косметическая основа,8,17
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,1,kosmetista,44,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,2,эксфолиант что это,2,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,3,эксфолиант это,2,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,4,косметическое масло,100,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,5,что нужно для макияжа лица,46,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,6,чем отмыть тональный крем с одежды,2,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,7,kisy cosmetics,2,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,8,эксфолиант что это такое,2,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,9,машнит косметикс,1,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,10,средства для ухода за лицом,89,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,11,косметические средства,188,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,12,тональное средство,60,4
2026-09-09,овсянников косметика,Липецкая область,10712,campaign,DEVICE_ALL,association,13,косметическая основа,4,4
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,1,kosmetista,38,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,2,эксфолиант что это,12,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,3,эксфолиант это,22,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,4,для чего нужен лосьон для лица,14,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,5,косметическое масло,494,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,6,что нужно для макияжа лица,88,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,7,чем отмыть тональный крем с одежды,6,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,8,средства для ухода за лицом bioderma,1,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,9,эксфолиант что это такое,7,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,10,машнит косметикс,9,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,11,средства для ухода за лицом,248,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,12,косметические средства,359,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,13,aya cosmetics,6,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,14,тональное средство,173,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,15,что такое лосьон для лица,5,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,16,косметическая основа,19,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,17,podonail cosmetics,2,12
2026-09-09,овсянников косметика,Республика Башкортостан,11111,campaign,DEVICE_ALL,association,18,профкосметика для волос,11,12
2026-09-09,овсянников косметика,Новосибирская область,11316,campaign,DEVICE_ALL,association,1,kosmetista,8,38
